Graph_ID,Category,X_Metric,Y_Metric,Scale,Line_Type,Equation,Intercept,Slope,Theta_Vector,Parameters_List,R_Squared,Data_Points,X_Min,X_Max,Y_Min,Y_Max
Small_FLOPs_vs_Latency_linear,Small,FLOPs,Latency,linear,Global Trendline,y = 3559.92 + 2.81478*x,3559.9249963105653,2.8147790318313346,[2.8147790318313346],"[3559.9249963105653, 2.8147790318313346]",0.11268917940016776,71,0.60872,7809.57,17.04922,54342.05
Small_FLOPs_vs_Latency_log,Small,FLOPs,Latency,log,Global Trendline,y = 1.92897 + 0.689161*x,1.9289692388673332,0.6891613903943377,[0.6891613903943377],"[1.9289692388673332, 0.6891613903943377]",0.6375773979866396,71,-0.215582428907505,3.8926271219991544,1.2317045148566896,4.73513601771998
Small_FLOPs_vs_Act_Size_linear,Small,FLOPs,Act_Size,linear,Global Trendline,y = 1531.61 + 1.0177*x,1531.6134881439207,1.0177005127783687,[1.0177005127783687],"[1531.6134881439207, 1.0177005127783687]",0.09876585064831045,71,0.60872,7809.57,29.23,19278.11
Small_FLOPs_vs_Act_Size_log,Small,FLOPs,Act_Size,log,Global Trendline,y = 1.63773 + 0.637259*x,1.6377282141895093,0.6372593207970202,[0.6372593207970202],"[1.6377282141895093, 0.6372593207970202]",0.5935224277467179,71,-0.215582428907505,3.8926271219991544,1.4658288153574364,4.285064454006368
Small_Act_Size_vs_Latency_linear,Small,Act_Size,Latency,linear,Global Trendline,y = 1077.02 + 1.817*x,1077.020315182268,1.816999791725324,[1.816999791725324],"[1077.020315182268, 1.816999791725324]",0.49242096534622937,71,29.23,19278.11,17.04922,54342.05
Small_Act_Size_vs_Latency_log,Small,Act_Size,Latency,log,Global Trendline,y = 1.37551 + 0.65391*x,1.3755054026937048,0.6539103848252797,[0.6539103848252797],"[1.3755054026937048, 0.6539103848252797]",0.39275594101457645,71,1.4658288153574364,4.285064454006368,1.2317045148566896,4.73513601771998
Medium_FLOPs_vs_Latency_linear,Medium,FLOPs,Latency,linear,Global Trendline,y = -9336.72 + 12.7217*x,-9336.715899877046,12.72172803445006,[12.72172803445006],"[-9336.715899877046, 12.72172803445006]",0.7676686682307806,39,35.92,11433.0268,372.51,170978.44
Medium_FLOPs_vs_Latency_log,Medium,FLOPs,Latency,log,Global Trendline,y = 0.802382 + 0.988985*x,0.8023822183050737,0.9889852732020357,[0.9889852732020357],"[0.8023822183050737, 0.9889852732020357]",0.8662157293099819,39,1.5553363279952668,4.058161221516712,2.5711379358400848,5.232941350278959
Medium_FLOPs_vs_Act_Size_linear,Medium,FLOPs,Act_Size,linear,Global Trendline,y = -626.083 + 1.88227*x,-626.0833360380238,1.8822663744749017,[1.8822663744749017],"[-626.0833360380238, 1.8822663744749017]",0.518032330153142,39,35.92,11433.0268,89.46,36534.375
Medium_FLOPs_vs_Act_Size_log,Medium,FLOPs,Act_Size,log,Global Trendline,y = 0.553066 + 0.829274*x,0.553066299665478,0.8292739932654506,[0.8292739932654506],"[0.553066299665478, 0.8292739932654506]",0.6002038866678744,39,1.5553363279952668,4.058161221516712,1.9516288938366382,4.562701682192447
Medium_Act_Size_vs_Latency_linear,Medium,Act_Size,Latency,linear,Global Trendline,y = 4602.68 + 4.28032*x,4602.675198082423,4.280316334479127,[4.280316334479127],"[4602.675198082423, 4.280316334479127]",0.594345033175429,39,89.46,36534.375,372.51,170978.44
Medium_Act_Size_vs_Latency_log,Medium,Act_Size,Latency,log,Global Trendline,y = 1.11428 + 0.877802*x,1.1142802892298875,0.8778017186965638,[0.8778017186965638],"[1.1142802892298875, 0.8778017186965638]",0.7818736157541588,39,1.9516288938366382,4.562701682192447,2.5711379358400848,5.232941350278959
Large_FLOPs_vs_Latency_linear,Large,FLOPs,Latency,linear,Global Trendline,y = 8.28119 + 6.15856*x,8.281188038650726,6.158564144792482,[6.158564144792482],"[8.281188038650726, 6.158564144792482]",0.8969484037749247,9,238.63,4574.39,1622.63,28666.11
Large_FLOPs_vs_Latency_log,Large,FLOPs,Latency,log,Global Trendline,y = 1.13578 + 0.8925*x,1.1357759998499595,0.8925004970526874,[0.8925004970526874],"[1.1357759998499595, 0.8925004970526874]",0.9308117651089375,9,2.377725041243148,3.660333188610808,3.210219501170994,4.457368763049176
Large_FLOPs_vs_Act_Size_linear,Large,FLOPs,Act_Size,linear,Global Trendline,y = -965.864 + 8.30681*x,-965.8636530416843,8.306806344621801,[8.306806344621801],"[-965.8636530416843, 8.306806344621801]",0.8445405738173297,9,238.63,4574.39,1491.91,39826.4
Large_FLOPs_vs_Act_Size_log,Large,FLOPs,Act_Size,log,Global Trendline,y = 0.915452 + 0.983096*x,0.9154522296209864,0.9830956718217682,[0.9830956718217682],"[0.9154522296209864, 0.9830956718217682]",0.8504616372468179,9,2.377725041243148,3.660333188610808,3.173742624958164,4.600171051305258
Large_Act_Size_vs_Latency_linear,Large,Act_Size,Latency,linear,Global Trendline,y = 1214.89 + 0.708526*x,1214.888655666693,0.7085261285014327,[0.7085261285014327],"[1214.888655666693, 0.7085261285014327]",0.9699914736073612,9,1491.91,39826.4,1622.63,28666.11
Large_Act_Size_vs_Latency_log,Large,Act_Size,Latency,log,Global Trendline,y = 0.517349 + 0.854589*x,0.5173485007145553,0.8545891186960519,[0.8545891186960519],"[0.5173485007145553, 0.8545891186960519]",0.969831951740716,9,3.173742624958164,4.600171051305258,3.210219501170994,4.457368763049176
