Graph_ID,Category,X_Metric,Y_Metric,Scale,Line_Type,Equation,Intercept,Slope,Theta_Vector,Parameters_List,R_Squared,Data_Points,X_Min,X_Max,Y_Min,Y_Max
Large_FLOPs_vs_Latency_linear,Large,FLOPs,Latency,linear,Global Trendline,y = 8.28119 + 6.15856*x,8.281188038650726,6.158564144792482,[6.158564144792482],"[8.281188038650726, 6.158564144792482]",0.8969484037749247,9,238.63,4574.39,1622.63,28666.11
Large_FLOPs_vs_Latency_linear,Large,FLOPs,Latency,linear,HRNet-W48 + OCR Network Line,y = 560.302 + 6.35533*x,560.3015769309477,6.355330598159368,[6.355330598159368],"[560.3015769309477, 6.355330598159368]",0.975763609102289,7,287.84,4574.39,2546.14,28666.11
Large_FLOPs_vs_Latency_linear,Large,FLOPs,Latency,linear,SegFormer-B5 Network Line,y = 932.747 + 2.89102*x,932.7465719947168,2.891017173051518,[2.891017173051518],"[932.7465719947168, 2.891017173051518]",1.0,2,238.63,2388.51,1622.63,7837.97
Large_FLOPs_vs_Latency_log,Large,FLOPs,Latency,log,Global Trendline,y = 1.13578 + 0.8925*x,1.1357759998499595,0.8925004970526874,[0.8925004970526874],"[1.1357759998499595, 0.8925004970526874]",0.9308117651089375,9,2.377725041243148,3.660333188610808,3.210219501170994,4.457368763049176
Large_FLOPs_vs_Latency_log,Large,FLOPs,Latency,log,HRNet-W48 + OCR Network Line,y = 1.15924 + 0.898745*x,1.1592367337020306,0.8987453877606646,[0.8987453877606646],"[1.1592367337020306, 0.8987453877606646]",0.984262576721173,7,2.459151146001476,3.660333188610808,3.405882279740202,4.457368763049176
Large_FLOPs_vs_Latency_log,Large,FLOPs,Latency,log,SegFormer-B5 Network Line,y = 1.58455 + 0.683709*x,1.5845469461875343,0.6837092291098168,[0.6837092291098168],"[1.5845469461875343, 0.6837092291098168]",1.0,2,2.377725041243148,3.3781270638884653,3.210219501170994,3.8942035968737256
Large_FLOPs_vs_Act_Size_linear,Large,FLOPs,Act_Size,linear,Global Trendline,y = -965.864 + 8.30681*x,-965.8636530416843,8.306806344621801,[8.306806344621801],"[-965.8636530416843, 8.306806344621801]",0.8445405738173297,9,238.63,4574.39,1491.91,39826.4
Large_FLOPs_vs_Act_Size_linear,Large,FLOPs,Act_Size,linear,HRNet-W48 + OCR Network Line,y = -17.3169 + 8.7095*x,-17.316874725969683,8.709503732032658,[8.709503732032658],"[-17.316874725969683, 8.709503732032658]",0.9999994870409358,7,287.84,4574.39,2497.03,39826.4
Large_FLOPs_vs_Act_Size_linear,Large,FLOPs,Act_Size,linear,SegFormer-B5 Network Line,y = 1004.46 + 2.04271*x,1004.4582652985291,2.042709360522447,[2.042709360522447],"[1004.4582652985291, 2.042709360522447]",1.0,2,238.63,2388.51,1491.91,5883.49
Large_FLOPs_vs_Act_Size_log,Large,FLOPs,Act_Size,log,Global Trendline,y = 0.915452 + 0.983096*x,0.9154522296209864,0.9830956718217682,[0.9830956718217682],"[0.9154522296209864, 0.9830956718217682]",0.8504616372468179,9,2.377725041243148,3.660333188610808,3.173742624958164,4.600171051305258
Large_FLOPs_vs_Act_Size_log,Large,FLOPs,Act_Size,log,HRNet-W48 + OCR Network Line,y = 0.935183 + 1.00129*x,0.9351830966178065,1.0012928617199255,[1.0012928617199255],"[0.9351830966178065, 1.0012928617199255]",0.9999997000634954,7,2.459151146001476,3.660333188610808,3.3974237601151405,4.600171051305258
Large_FLOPs_vs_Act_Size_log,Large,FLOPs,Act_Size,log,SegFormer-B5 Network Line,y = 1.75744 + 0.595653*x,1.757443740478891,0.595652928708186,[0.595652928708186],"[1.757443740478891, 0.595652928708186]",1.0,2,2.377725041243148,3.3781270638884653,3.173742624958164,3.7696350196324406
Large_Act_Size_vs_Latency_linear,Large,Act_Size,Latency,linear,Global Trendline,y = 1214.89 + 0.708526*x,1214.888655666693,0.7085261285014327,[0.7085261285014327],"[1214.888655666693, 0.7085261285014327]",0.9699914736073612,9,1491.91,39826.4,1622.63,28666.11
Large_Act_Size_vs_Latency_linear,Large,Act_Size,Latency,linear,HRNet-W48 + OCR Network Line,y = 572.533 + 0.729723*x,572.5334827407587,0.7297229431906574,[0.7297229431906574],"[572.5334827407587, 0.7297229431906574]",0.9758237123955052,7,2497.03,39826.4,2546.14,28666.11
Large_Act_Size_vs_Latency_linear,Large,Act_Size,Latency,linear,SegFormer-B5 Network Line,y = -488.849 + 1.41529*x,-488.8487614935848,1.4152856147445794,[1.4152856147445794],"[-488.8487614935848, 1.4152856147445794]",1.0,2,1491.91,5883.49,1622.63,7837.97
Large_Act_Size_vs_Latency_log,Large,Act_Size,Latency,log,Global Trendline,y = 0.517349 + 0.854589*x,0.5173485007145553,0.8545891186960519,[0.8545891186960519],"[0.5173485007145553, 0.8545891186960519]",0.969831951740716,9,3.173742624958164,4.600171051305258,3.210219501170994,4.457368763049176
Large_Act_Size_vs_Latency_log,Large,Act_Size,Latency,log,HRNet-W48 + OCR Network Line,y = 0.319896 + 0.897569*x,0.319895687841977,0.8975691904817262,[0.8975691904817262],"[0.319895687841977, 0.8975691904817262]",0.9842283433406065,7,3.3974237601151405,4.600171051305258,3.405882279740202,4.457368763049176
Large_Act_Size_vs_Latency_log,Large,Act_Size,Latency,log,SegFormer-B5 Network Line,y = -0.432702 + 1.14783*x,-0.43270244031780214,1.147831557871463,[1.147831557871463],"[-0.43270244031780214, 1.147831557871463]",1.0,2,3.173742624958164,3.7696350196324406,3.210219501170994,3.8942035968737256
