Graph_ID,Category,X_Metric,Y_Metric,Scale,Line_Type,Equation,Intercept,Slope,Theta_Vector,Parameters_List,R_Squared,Data_Points,X_Min,X_Max,Y_Min,Y_Max
Medium_FLOPs_vs_Latency_linear,Medium,FLOPs,Latency,linear,Global Trendline,y = -9336.72 + 12.7217*x,-9336.715899877046,12.72172803445006,[12.72172803445006],"[-9336.715899877046, 12.72172803445006]",0.7676686682307806,39,35.92,11433.0268,372.51,170978.44
Medium_FLOPs_vs_Latency_linear,Medium,FLOPs,Latency,linear,FCN_R50 Network Line,y = 379.204 + 3.43702*x,379.2038263301092,3.43702251942348,[3.43702251942348],"[379.2038263301092, 3.43702251942348]",0.9949220086195416,8,260.15,9365.23,1035.85,32823.34
Medium_FLOPs_vs_Latency_linear,Medium,FLOPs,Latency,linear,LinkNet Network Line,y = -319.853 + 11.7177*x,-319.85316858524766,11.717724002222182,[11.717724002222182],"[-319.85316858524766, 11.717724002222182]",0.9889621001169739,8,35.92,1281.22,372.51,15129.52
Medium_FLOPs_vs_Latency_linear,Medium,FLOPs,Latency,linear,PSPNet Network Line,y = 185.337 + 4.53811*x,185.33717029353284,4.538109441327746,[4.538109441327746],"[185.33717029353284, 4.538109441327746]",0.9981345676721407,8,86.01,3151.28,527.98,14516.23
Medium_FLOPs_vs_Latency_linear,Medium,FLOPs,Latency,linear,SUMNet w/o Skip Connection Network Line,y = -25251.5 + 17.1968*x,-25251.486471492317,17.196818633060794,[17.196818633060794],"[-25251.486471492317, 17.196818633060794]",0.9271218863930555,7,714.5642,11433.0268,2081.62,162759.9
Medium_FLOPs_vs_Latency_linear,Medium,FLOPs,Latency,linear,SegNet Network Line,y = -24672.1 + 17.6581*x,-24672.102995631205,17.65807139524398,[17.65807139524398],"[-24672.102995631205, 17.65807139524398]",0.9141552113635079,8,278.29,10103.66,884.99,170978.44
Medium_FLOPs_vs_Latency_log,Medium,FLOPs,Latency,log,Global Trendline,y = 0.802382 + 0.988985*x,0.8023822183050737,0.9889852732020357,[0.9889852732020357],"[0.8023822183050737, 0.9889852732020357]",0.8662157293099819,39,1.5553363279952668,4.058161221516712,2.5711379358400848,5.232941350278959
Medium_FLOPs_vs_Latency_log,Medium,FLOPs,Latency,log,FCN_R50 Network Line,y = 0.716823 + 0.954384*x,0.7168233790645093,0.9543844111477167,[0.9543844111477167],"[0.7168233790645093, 0.9543844111477167]",0.9952069702644306,8,2.4152238302320552,3.9715184476487106,3.015296870381438,4.516182771408289
Medium_FLOPs_vs_Latency_log,Medium,FLOPs,Latency,log,LinkNet Network Line,y = 1.02943 + 0.99946*x,1.0294285425366154,0.9994596135720482,[0.9994596135720482],"[1.0294285425366154, 0.9994596135720482]",0.9892546641036863,8,1.5553363279952668,3.1076237094343724,2.5711379358400848,4.179825149790662
Medium_FLOPs_vs_Latency_log,Medium,FLOPs,Latency,log,PSPNet Network Line,y = 0.913592 + 0.922045*x,0.9135923035148248,0.9220451139931818,[0.9220451139931818],"[0.9135923035148248, 0.9220451139931818]",0.9970089301973231,8,1.934548947666147,3.4984869931620715,2.722617471673684,4.161853840689962
