Graph_ID,Category,X_Metric,Y_Metric,Scale,Line_Type,Equation,Intercept,Slope,Theta_Vector,Parameters_List,R_Squared,Data_Points,X_Min,X_Max,Y_Min,Y_Max
Small_FLOPs_vs_Latency_linear,Small,FLOPs,Latency,linear,Global Trendline,y = 3559.92 + 2.81478*x,3559.9249963105653,2.8147790318313346,[2.8147790318313346],"[3559.9249963105653, 2.8147790318313346]",0.11268917940016776,71,0.60872,7809.57,17.04922,54342.05
Small_FLOPs_vs_Latency_linear,Small,FLOPs,Latency,linear,Compression Engine Network Line,y = -199.172 + 19.9307*x,-199.1718607278758,19.93073697883581,[19.93073697883581],"[-199.1718607278758, 19.93073697883581]",0.9914003152760698,8,18.59,663.9,295.54334,13352.89821
Small_FLOPs_vs_Latency_linear,Small,FLOPs,Latency,linear,ENet Network Line,y = 126.765 + 53.9982*x,126.76475440306831,53.99824389573554,[53.99824389573554],"[126.76475440306831, 53.99824389573554]",0.9989349392437135,8,3.56,126.65,244.95,6916.19
Small_FLOPs_vs_Latency_linear,Small,FLOPs,Latency,linear,ERFNet Network Line,y = -781.396 + 15.5468*x,-781.3958412477923,15.546767952017587,[15.546767952017587],"[-781.3958412477923, 15.546767952017587]",0.9932344024581267,8,28.92,1041.18,299.14,15765.34
Small_FLOPs_vs_Latency_linear,Small,FLOPs,Latency,linear,ESPNet Network Line,y = 371.406 + 148.526*x,371.4062693218748,148.525579058193,[148.525579058193],"[371.4062693218748, 148.525579058193]",0.994932054086258,8,6.02,216.78,1034.8,32823.34
Small_FLOPs_vs_Latency_linear,Small,FLOPs,Latency,linear,EliteNet Network Line,y = -12.631 + 40.3617*x,-12.631020864763798,40.36170841487628,[40.36170841487628],"[-12.631020864763798, 40.36170841487628]",0.9959663987908742,8,0.60872,21.92,17.04922,860.41991
Small_FLOPs_vs_Latency_linear,Small,FLOPs,Latency,linear,Jet Seg Network Line,y = 642.284 + 4.94153*x,642.2838699178757,4.9415267683428405,[4.9415267683428405],"[642.2838699178757, 4.9415267683428405]",0.8662530722006717,8,14.04,505.5,133.01,2896.39
Small_FLOPs_vs_Latency_linear,Small,FLOPs,Latency,linear,SegFormer-BO Network Line,y = -181.415 + 24.3955*x,-181.41450547698423,24.39554682306541,[24.39554682306541],"[-181.41450547698423, 24.39554682306541]",0.9737025141861685,7,8.61,329.24,131.27,8284.65
Small_FLOPs_vs_Latency_linear,Small,FLOPs,Latency,linear,UNet w/o Skip Connection Network Line,y = -1641.07 + 7.88486*x,-1641.071370876754,7.8848554113993785,[7.8848554113993785],"[-1641.071370876754, 7.8848554113993785]",0.9543677699409732,7,94.22,1507.59,282.61129,10898.47264
Small_FLOPs_vs_Latency_linear,Small,FLOPs,Latency,linear,UNext w/o skip Network Line,y = -7463.02 + 57.1175*x,-7463.019825719404,57.11748354001362,[57.11748354001362],"[-7463.019825719404, 57.11748354001362]",0.9319799009564611,8,27.8,998.08,338.55,54342.05
Small_FLOPs_vs_Latency_log,Small,FLOPs,Latency,log,Global Trendline,y = 1.92897 + 0.689161*x,1.9289692388673332,0.6891613903943377,[0.6891613903943377],"[1.9289692388673332, 0.6891613903943377]",0.6375773979866396,71,-0.215582428907505,3.8926271219991544,1.2317045148566896,4.73513601771998
Small_FLOPs_vs_Latency_log,Small,FLOPs,Latency,log,Compression Engine Network Line,y = 1.18604 + 1.03714*x,1.1860385002085816,1.037141388142338,[1.037141388142338],"[1.1860385002085816, 1.037141388142338]",0.9915834175618891,8,1.2692793897718986,2.82210266864692,2.4706211770706648,4.1255755383600965
Small_FLOPs_vs_Latency_log,Small,FLOPs,Latency,log,ENet Network Line,y = 1.86164 + 0.939857*x,1.8616350956982886,0.9398568235386556,[0.9398568235386556],"[1.8616350956982886, 0.9398568235386556]",0.9988980467352732,8,0.5514499979728752,2.102605194126567,2.3890774437923494,3.8398669156050835
Small_FLOPs_vs_Latency_log,Small,FLOPs,Latency,log,ERFNet Network Line,y = 0.808382 + 1.10871*x,0.8083822619678664,1.1087142609317986,[1.1087142609317986],"[0.8083822619678664, 1.1087142609317986]",0.9938587493591716,8,1.4611982886224932,3.0175258171657218,2.4758744893194367,4.197703341308572
Small_FLOPs_vs_Latency_log,Small,FLOPs,Latency,log,ESPNet Network Line,y = 2.27682 + 0.954679*x,2.276816908186536,0.9546788690118158,[0.9546788690118158],"[2.276816908186536, 0.9546788690118158]",0.995193526215453,8,0.7795964912578245,2.336019211951666,3.014856420044506,4.516182771408289
Small_FLOPs_vs_Latency_log,Small,FLOPs,Latency,log,EliteNet Network Line,y = 1.47344 + 1.11727*x,1.473436336520611,1.11726893140328,[1.11726893140328],"[1.473436336520611, 1.11726893140328]",0.9967095205963644,8,-0.215582428907505,1.3408405498123315,1.2317045148566896,2.9347104513470974
Small_FLOPs_vs_Latency_log,Small,FLOPs,Latency,log,Jet Seg Network Line,y = 1.36493 + 0.836618*x,1.3649323599604326,0.8366177035177109,[0.8366177035177109],"[1.3649323599604326, 0.8366177035177109]",0.9059307449288839,8,1.1473671077937864,2.70372115992702,2.1238842934600077,3.461857039377401
Small_FLOPs_vs_Latency_log,Small,FLOPs,Latency,log,SegFormer-BO Network Line,y = 1.20235 + 1.07271*x,1.202351864639213,1.0727105916568487,[1.0727105916568487],"[1.202351864639213, 1.0727105916568487]",0.9732001577856704,7,0.9350031514536548,2.5175125930164413,2.1181654852431238,3.918274165588253
